,Country,Year,RenewableWater,WaterAbstracted,WastewaterGenerated,PopSuppliedPct,CO2Emissions
0,Belarus,2021,49800,1425.1,3436.5,96.6,60938.19691
1,Belarus,2020,38100,1328.6,3165.5,96.1,59055.55093
2,Belarus,2019,37300,1358,3127.6,95.5,62096.34374
3,Belarus,2018,55000,1390.2,3155.6,94.7,62156.93245
4,Belarus,2017,60400,1397.5,3186,93.7,59381.85268
5,Belarus,2016,42400,1450.8,3158.6,92.6,58134.48309
6,Belarus,2015,29800,1447.5,2597.3,90.5,58798.91147
7,Belarus,2014,40900,1570.7,2832.9,89.9,63648.87369
8,Belarus,2013,73900,1570.6,2898.6,88.6,64125.55613
9,Belarus,2012,62400,1641.6,3011,86.3,62545.26376
10,Belarus,2011,58300,1638.1,2978.1,86.4,61307.58937
11,Belarus,2010,71100,1598.1,2945.2,86.8,62445.12046
12,Belarus,2009,67600,1572.5,2966.1,84.4,60577.74491
13,Belarus,2008,58900,1637.9,2987.9,81.6,62836.40856
14,Belarus,2007,53700,1698.1,3133.3,81.3,60218.14133
15,Belarus,2006,60500,1730.2,3266.2,78.9,61743.58708
16,Belarus,2005,62500,1773.2,3449.6,78.4,59310.28559
17,Belarus,2004,60100,1790.9,3430.1,78.1,58253.53068
18,Belarus,2003,47300,1834.9,3461.1,78.9,55087.98691
19,Belarus,2002,47500,1867,3533.2,75.8,53844.14364
20,Belarus,2001,57200,1885.5,3636.2,76.2,54002.98151
21,Belarus,2000,59400,1882.4,3579.5,74.6,54905.98293
22,Belarus,1995,53600,2112,4002,67.5,60905.64226
23,Croatia,2011,112660,672,1172.6,86,20650.17642
24,Malta,2017,69,43,142.5,100,1530.838815
25,Malta,2016,51,42,120.5,100,1356.298353
26,Malta,2015,88,42,158.9,100,1665.293476
27,Malta,2014,79,45,145.2,100,2364.416228
28,Malta,2013,75,46,139.7,100,2379.248645
29,Malta,2012,81,40,147.9,100,2717.042869
30,Malta,2011,105,38,211,100,2583.914056
31,Malta,2010,91,41,189,100,2602.794087
32,Malta,2009,117,32,219.2,100,2526.343736
33,Malta,2008,86,36,175.3,100,2690.431763
34,Malta,2007,107,37,205.5,100,2731.438503
35,Malta,2006,93,33,186.3,100,2667.484013
36,Malta,2005,87,32,175.3,100,2656.657994
37,Malta,2004,79,32,161.6,100,2849.056016
38,Malta,2003,151,32,249.3,100,2960.833173
39,Malta,2002,76,35,153.4,100,2747.22676
40,Malta,2001,57,36,126,100,2736.558683
41,Poland,2017,61041,10652,6021.9,92,336765.4162
42,Poland,2016,41439,11153,5934.2,92,323546.99
43,Poland,2015,40786,11094,5813.6,92,312715.4215
44,Poland,2014,52239,11308,5819.1,92,309582.4485
45,Poland,2013,66941,11243,5939.7,88,321927.0437
46,Poland,2012,49626,11478,6024.6,88,325953.2961
47,Poland,2011,76385,11911,6224.6,88,333598.7653
48,Poland,2010,86763,11645,6326,88,334224.5754
49,Poland,2009,55051,11517,6021.9,87,316021.2103
50,Poland,2008,54179,11365,6128.7,87,329567.078
51,Poland,2007,56718,12027,5893.1,87,335920.2004
52,Poland,2006,50094,12257,5830.1,86,336572.6614
53,Poland,2005,56551,11522,5794.5,86,322765.0584
54,Poland,2004,50395,11477,5849.3,86,323794.1198
55,Poland,2003,47764,11548,5961.6,85,318949.7348
56,Poland,2002,68075,11728,6241,85,306122.76
57,Poland,2001,66081,11599,6580.8,84,313500.5504
58,Poland,2000,65385,11994,6854.7,83,317452.2221
59,Poland,1995,60875,12924,8273.9,76,362614.5486
60,Poland,1990,43157,15164,11273.9,72,376641.2507
61,Romania,2017,29228,6762,5164.3,68,79648.90922
62,Romania,2016,40732,6364,5353.4,65,76714.53995
63,Romania,2015,34827,6458,5323.2,64,78031.91382
64,Romania,2014,42188,6269,5410.9,62,79126.88136
65,Romania,2013,35573,6418,5498.6,61,79365.57574
66,Romania,2012,24439,6482,13651.9,60,91126.7076
67,Romania,2011,30678,6592,15405.3,56,92803.51757
68,Romania,2010,61878,6219,13353.3,56,86094.08793
69,Romania,2009,34480,6876,14027.3,55,88482.22466
70,Romania,2008,39406,7220,15747.8,53,107894.4951
71,Romania,2007,37805,6884,13493,49,109019.5896
